==== gpt2_QKT (128,64,128), iters=1000 ====
[PCG] Loaded from /home/ylu18/luoresearch/2PC/results/gpt2_hybrid_20260505_050608/brillm_dummy_pcg/gpt2_QKT_party0.bin
[PCG] Matrix: [128×64] × [64×128] = [128×128], k=64-bit

╔═══════════════════════════════════════════════════════════╗
║  GPU Matrix Beaver Online                                 ║
║  Y = X × W                                                ║
╠═══════════════════════════════════════════════════════════╣
║  GPU: NVIDIA RTX A6000                               ║
║  Matrix: [128×64] × [64×128] = [128×128]                      
║  k_bits: 64                                              ║
║  iterations: 1000                                         ║
╚═══════════════════════════════════════════════════════════╝

Iter 1: total=0.18 ms, PRG=0.01 ms, comm=0.09 ms, GEMM=0.03 ms
Iter 2: total=0.14 ms, PRG=0.01 ms, comm=0.07 ms, GEMM=0.02 ms
Iter 3: total=0.11 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 4: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 5: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 6: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 7: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 8: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 9: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 10: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 11: total=0.12 ms, PRG=0.02 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 12: total=0.11 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 13: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 14: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 15: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 16: total=0.11 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 17: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 18: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 19: total=0.11 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 20: total=0.11 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 21: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 22: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 23: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 24: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 25: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 26: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 27: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 28: total=0.12 ms, PRG=0.01 ms, comm=0.05 ms, GEMM=0.02 ms
Iter 29: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 30: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 31: total=0.11 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 32: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 33: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 34: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 35: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 36: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 37: total=0.11 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 38: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 39: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 40: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 41: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 42: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 43: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 44: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 45: total=0.11 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 46: total=0.11 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 47: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 48: total=0.11 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 49: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 50: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 51: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 52: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 53: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 54: total=0.11 ms, PRG=0.01 ms, comm=0.05 ms, GEMM=0.02 ms
Iter 55: total=0.11 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 56: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 57: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 58: total=0.11 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 59: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 60: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 61: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 62: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 63: total=0.11 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 64: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 65: total=0.11 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 66: total=0.11 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 67: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 68: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 69: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 70: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 71: total=0.11 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 72: total=0.11 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 73: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 74: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 75: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 76: total=0.11 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 77: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 78: total=0.11 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 79: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 80: total=0.11 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 81: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 82: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 83: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 84: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 85: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 86: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 87: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 88: total=0.11 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 89: total=0.11 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 90: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 91: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 92: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 93: total=0.11 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 94: total=0.11 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 95: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 96: total=0.11 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 97: total=0.11 ms, PRG=0.01 ms, comm=0.05 ms, GEMM=0.02 ms
Iter 98: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
Iter 99: total=0.10 ms, PRG=0.01 ms, comm=0.04 ms, GEMM=0.02 ms
