==== gpt2_W_QKV (128,768,768), iters=1000 ====
[PCG] Loaded from /home/ylu18/luoresearch/2PC/results/gpt2_hybrid_20260505_050608/brillm_dummy_pcg/gpt2_W_QKV_party0.bin
[PCG] Matrix: [128×768] × [768×768] = [128×768], k=64-bit

╔═══════════════════════════════════════════════════════════╗
║  GPU Matrix Beaver Online                                 ║
║  Y = X × W                                                ║
╠═══════════════════════════════════════════════════════════╣
║  GPU: NVIDIA RTX A6000                               ║
║  Matrix: [128×768] × [768×768] = [128×768]                      
║  k_bits: 64                                              ║
║  iterations: 1000                                         ║
╚═══════════════════════════════════════════════════════════╝

Iter 1: total=3.99 ms, PRG=0.07 ms, comm=2.98 ms, GEMM=0.32 ms
Iter 2: total=3.36 ms, PRG=0.07 ms, comm=2.43 ms, GEMM=0.28 ms
Iter 3: total=2.23 ms, PRG=0.07 ms, comm=1.26 ms, GEMM=0.29 ms
Iter 4: total=2.21 ms, PRG=0.07 ms, comm=1.25 ms, GEMM=0.28 ms
Iter 5: total=2.05 ms, PRG=0.07 ms, comm=1.09 ms, GEMM=0.28 ms
Iter 6: total=2.10 ms, PRG=0.07 ms, comm=1.14 ms, GEMM=0.28 ms
Iter 7: total=2.08 ms, PRG=0.07 ms, comm=1.11 ms, GEMM=0.28 ms
Iter 8: total=2.07 ms, PRG=0.07 ms, comm=1.11 ms, GEMM=0.28 ms
Iter 9: total=2.07 ms, PRG=0.07 ms, comm=1.11 ms, GEMM=0.28 ms
Iter 10: total=2.05 ms, PRG=0.07 ms, comm=1.09 ms, GEMM=0.28 ms
Iter 11: total=2.07 ms, PRG=0.07 ms, comm=1.10 ms, GEMM=0.28 ms
Iter 12: total=2.07 ms, PRG=0.07 ms, comm=1.10 ms, GEMM=0.28 ms
Iter 13: total=2.08 ms, PRG=0.07 ms, comm=1.12 ms, GEMM=0.28 ms
Iter 14: total=2.03 ms, PRG=0.07 ms, comm=1.07 ms, GEMM=0.28 ms
Iter 15: total=1.99 ms, PRG=0.07 ms, comm=1.03 ms, GEMM=0.27 ms
Iter 16: total=1.99 ms, PRG=0.07 ms, comm=1.04 ms, GEMM=0.27 ms
Iter 17: total=2.00 ms, PRG=0.07 ms, comm=1.05 ms, GEMM=0.27 ms
Iter 18: total=2.01 ms, PRG=0.07 ms, comm=1.06 ms, GEMM=0.27 ms
Iter 19: total=2.00 ms, PRG=0.07 ms, comm=1.06 ms, GEMM=0.27 ms
Iter 20: total=2.00 ms, PRG=0.07 ms, comm=1.05 ms, GEMM=0.27 ms
Iter 21: total=2.04 ms, PRG=0.07 ms, comm=1.09 ms, GEMM=0.27 ms
Iter 22: total=2.00 ms, PRG=0.07 ms, comm=1.05 ms, GEMM=0.27 ms
Iter 23: total=2.00 ms, PRG=0.07 ms, comm=1.05 ms, GEMM=0.28 ms
Iter 24: total=2.00 ms, PRG=0.07 ms, comm=1.05 ms, GEMM=0.27 ms
Iter 25: total=2.03 ms, PRG=0.07 ms, comm=1.08 ms, GEMM=0.27 ms
Iter 26: total=2.01 ms, PRG=0.07 ms, comm=1.07 ms, GEMM=0.27 ms
Iter 27: total=2.01 ms, PRG=0.07 ms, comm=1.06 ms, GEMM=0.27 ms
Iter 28: total=2.00 ms, PRG=0.07 ms, comm=1.05 ms, GEMM=0.27 ms
Iter 29: total=1.99 ms, PRG=0.07 ms, comm=1.04 ms, GEMM=0.27 ms
Iter 30: total=1.99 ms, PRG=0.07 ms, comm=1.05 ms, GEMM=0.28 ms
Iter 31: total=1.99 ms, PRG=0.07 ms, comm=1.05 ms, GEMM=0.28 ms
Iter 32: total=2.01 ms, PRG=0.07 ms, comm=1.06 ms, GEMM=0.27 ms
